curb_id,from_node,to_node,x_m,y_m,face_length_m,total_stalls,stalls_passenger,stalls_delivery,stalls_ridehail,price_usd_per_hour,time_limit_min
N00_00_N00_01_S0,N00_00,N00_01,65.0,0.0,130.0,12,10,2,0,2.0,120.0
N00_00_N00_01_S1,N00_01,N00_00,65.0,0.0,130.0,12,10,2,0,2.0,120.0
N00_00_N01_00_S0,N00_00,N01_00,0.0,65.0,130.0,11,9,2,0,2.0,120.0
N00_00_N01_00_S1,N01_00,N00_00,0.0,65.0,130.0,11,9,2,0,2.0,120.0
N00_01_N00_02_S0,N00_01,N00_02,195.0,0.0,130.0,12,10,2,0,2.0,120.0
N00_01_N00_02_S1,N00_02,N00_01,195.0,0.0,130.0,12,10,2,0,2.0,120.0
N00_01_N01_01_S0,N00_01,N01_01,130.0,65.0,130.0,12,10,2,0,2.0,120.0
N00_01_N01_01_S1,N01_01,N00_01,130.0,65.0,130.0,11,9,2,0,2.0,120.0
N00_02_N00_03_S0,N00_02,N00_03,325.0,0.0,130.0,13,10,3,0,2.0,120.0
N00_02_N00_03_S1,N00_03,N00_02,325.0,0.0,130.0,11,9,2,0,2.0,120.0
N00_02_N01_02_S0,N00_02,N01_02,260.0,65.0,130.0,11,9,2,0,4.0,120.0
N00_02_N01_02_S1,N01_02,N00_02,260.0,65.0,130.0,11,9,2,0,4.0,120.0
N00_03_N00_04_S0,N00_03,N00_04,455.0,0.0,130.0,11,9,1,1,2.0,120.0
N00_03_N00_04_S1,N00_04,N00_03,455.0,0.0,130.0,14,10,3,1,2.0,120.0
N00_03_N01_03_S0,N00_03,N01_03,390.0,65.0,130.0,12,10,1,1,2.0,120.0
N00_03_N01_03_S1,N01_03,N00_03,390.0,65.0,130.0,13,10,3,0,2.0,120.0
N00_04_N01_04_S0,N00_04,N01_04,520.0,65.0,130.0,11,9,1,1,2.0,120.0
N00_04_N01_04_S1,N01_04,N00_04,520.0,65.0,130.0,14,10,3,1,2.0,120.0
N01_00_N01_01_S0,N01_00,N01_01,65.0,130.0,130.0,13,11,2,0,2.0,120.0
N01_00_N01_01_S1,N01_01,N01_00,65.0,130.0,130.0,11,9,1,1,2.0,120.0
N01_00_N02_00_S0,N01_00,N02_00,0.0,195.0,130.0,11,9,1,1,2.0,120.0
N01_00_N02_00_S1,N02_00,N01_00,0.0,195.0,130.0,14,11,2,1,2.0,120.0
N01_01_N01_02_S0,N01_01,N01_02,195.0,130.0,130.0,14,11,2,1,4.0,120.0
N01_01_N01_02_S1,N01_02,N01_01,195.0,130.0,130.0,14,11,2,1,4.0,120.0
N01_01_N02_01_S0,N01_01,N02_01,130.0,195.0,130.0,11,9,1,1,4.0,120.0
N01_01_N02_01_S1,N02_01,N01_01,130.0,195.0,130.0,12,10,1,1,4.0,120.0
N01_02_N01_03_S0,N01_02,N01_03,325.0,130.0,130.0,12,10,1,1,4.0,120.0
N01_02_N01_03_S1,N01_03,N01_02,325.0,130.0,130.0,12,10,1,1,4.0,120.0
N01_02_N02_02_S0,N01_02,N02_02,260.0,195.0,130.0,13,11,2,0,4.0,120.0
N01_02_N02_02_S1,N02_02,N01_02,260.0,195.0,130.0,12,10,1,1,4.0,120.0
N01_03_N01_04_S0,N01_03,N01_04,455.0,130.0,130.0,11,9,1,1,2.0,120.0
N01_03_N01_04_S1,N01_04,N01_03,455.0,130.0,130.0,11,9,1,1,2.0,120.0
N01_03_N02_03_S0,N01_03,N02_03,390.0,195.0,130.0,12,10,1,1,4.0,120.0
N01_03_N02_03_S1,N02_03,N01_03,390.0,195.0,130.0,12,10,1,1,4.0,120.0
N01_04_N02_04_S0,N01_04,N02_04,520.0,195.0,130.0,12,10,1,1,2.0,120.0
N01_04_N02_04_S1,N02_04,N01_04,520.0,195.0,130.0,14,11,2,1,2.0,120.0
N02_00_N02_01_S0,N02_00,N02_01,65.0,260.0,130.0,13,11,2,0,4.0,120.0
N02_00_N02_01_S1,N02_01,N02_00,65.0,260.0,130.0,13,11,2,0,4.0,120.0
N02_00_N03_00_S0,N02_00,N03_00,0.0,325.0,130.0,12,10,1,1,2.0,120.0
N02_00_N03_00_S1,N03_00,N02_00,0.0,325.0,130.0,14,11,2,1,2.0,120.0
N02_01_N02_02_S0,N02_01,N02_02,195.0,260.0,130.0,11,9,1,1,4.0,120.0
N02_01_N02_02_S1,N02_02,N02_01,195.0,260.0,130.0,11,9,1,1,4.0,120.0
N02_01_N03_01_S0,N02_01,N03_01,130.0,325.0,130.0,13,11,2,0,4.0,120.0
N02_01_N03_01_S1,N03_01,N02_01,130.0,325.0,130.0,14,11,2,1,4.0,120.0
N02_02_N02_03_S0,N02_02,N02_03,325.0,260.0,130.0,11,9,1,1,4.0,120.0
N02_02_N02_03_S1,N02_03,N02_02,325.0,260.0,130.0,13,11,2,0,4.0,120.0
N02_02_N03_02_S0,N02_02,N03_02,260.0,325.0,130.0,11,9,1,1,4.0,120.0
N02_02_N03_02_S1,N03_02,N02_02,260.0,325.0,130.0,13,11,2,0,4.0,120.0
N02_03_N02_04_S0,N02_03,N02_04,455.0,260.0,130.0,13,11,2,0,4.0,120.0
N02_03_N02_04_S1,N02_04,N02_03,455.0,260.0,130.0,12,10,1,1,4.0,120.0
N02_03_N03_03_S0,N02_03,N03_03,390.0,325.0,130.0,13,11,2,0,4.0,120.0
N02_03_N03_03_S1,N03_03,N02_03,390.0,325.0,130.0,13,11,2,0,4.0,120.0
N02_04_N03_04_S0,N02_04,N03_04,520.0,325.0,130.0,14,11,2,1,2.0,120.0
N02_04_N03_04_S1,N03_04,N02_04,520.0,325.0,130.0,12,10,1,1,2.0,120.0
N03_00_N03_01_S0,N03_00,N03_01,65.0,390.0,130.0,13,11,2,0,2.0,120.0
N03_00_N03_01_S1,N03_01,N03_00,65.0,390.0,130.0,14,11,2,1,2.0,120.0
N03_00_N04_00_S0,N03_00,N04_00,0.0,455.0,130.0,11,9,1,1,2.0,120.0
N03_00_N04_00_S1,N04_00,N03_00,0.0,455.0,130.0,12,10,1,1,2.0,120.0
N03_01_N03_02_S0,N03_01,N03_02,195.0,390.0,130.0,12,10,1,1,4.0,120.0
N03_01_N03_02_S1,N03_02,N03_01,195.0,390.0,130.0,13,11,2,0,4.0,120.0
N03_01_N04_01_S0,N03_01,N04_01,130.0,455.0,130.0,13,11,2,0,2.0,120.0
N03_01_N04_01_S1,N04_01,N03_01,130.0,455.0,130.0,12,10,1,1,2.0,120.0
N03_02_N03_03_S0,N03_02,N03_03,325.0,390.0,130.0,12,10,1,1,4.0,120.0
N03_02_N03_03_S1,N03_03,N03_02,325.0,390.0,130.0,12,10,1,1,4.0,120.0
N03_02_N04_02_S0,N03_02,N04_02,260.0,455.0,130.0,13,11,2,0,4.0,120.0
N03_02_N04_02_S1,N04_02,N03_02,260.0,455.0,130.0,11,9,1,1,4.0,120.0
N03_03_N03_04_S0,N03_03,N03_04,455.0,390.0,130.0,14,11,2,1,2.0,120.0
N03_03_N03_04_S1,N03_04,N03_03,455.0,390.0,130.0,12,10,1,1,2.0,120.0
N03_03_N04_03_S0,N03_03,N04_03,390.0,455.0,130.0,11,9,1,1,2.0,120.0
N03_03_N04_03_S1,N04_03,N03_03,390.0,455.0,130.0,11,9,1,1,2.0,120.0
N03_04_N04_04_S0,N03_04,N04_04,520.0,455.0,130.0,12,10,1,1,2.0,120.0
N03_04_N04_04_S1,N04_04,N03_04,520.0,455.0,130.0,11,9,1,1,2.0,120.0
N04_00_N04_01_S0,N04_00,N04_01,65.0,520.0,130.0,11,9,1,1,2.0,120.0
N04_00_N04_01_S1,N04_01,N04_00,65.0,520.0,130.0,13,11,2,0,2.0,120.0
N04_01_N04_02_S0,N04_01,N04_02,195.0,520.0,130.0,14,11,2,1,2.0,120.0
N04_01_N04_02_S1,N04_02,N04_01,195.0,520.0,130.0,13,11,2,0,2.0,120.0
N04_02_N04_03_S0,N04_02,N04_03,325.0,520.0,130.0,12,10,1,1,2.0,120.0
N04_02_N04_03_S1,N04_03,N04_02,325.0,520.0,130.0,11,9,1,1,2.0,120.0
N04_03_N04_04_S0,N04_03,N04_04,455.0,520.0,130.0,13,11,2,0,2.0,120.0
N04_03_N04_04_S1,N04_04,N04_03,455.0,520.0,130.0,13,11,2,0,2.0,120.0
