hour_index,t_start_min,vehicle_class,base_rate_veh_per_hour,profile_multiplier,arrival_rate_veh_per_hour
0,0.0,passenger,750.0,0.8182,613.64
0,0.0,delivery,180.0,0.8182,147.27
0,0.0,ridehail,420.0,0.8182,343.64
1,60.0,passenger,750.0,0.9545,715.91
1,60.0,delivery,180.0,0.9545,171.82
1,60.0,ridehail,420.0,0.9545,400.91
2,120.0,passenger,750.0,1.0909,818.18
2,120.0,delivery,180.0,1.0909,196.36
2,120.0,ridehail,420.0,1.0909,458.18
3,180.0,passenger,750.0,1.2273,920.45
3,180.0,delivery,180.0,1.2273,220.91
3,180.0,ridehail,420.0,1.2273,515.45
4,240.0,passenger,750.0,1.1364,852.27
4,240.0,delivery,180.0,1.1364,204.55
4,240.0,ridehail,420.0,1.1364,477.27
5,300.0,passenger,750.0,1.0,750.0
5,300.0,delivery,180.0,1.0,180.0
5,300.0,ridehail,420.0,1.0,420.0
