,baseline,loading_zones,ridehail_zones,dynamic_pricing,mixed_curb,demand_shock
wall_time_s,0.05301097269325317,0.05176876097744594,0.0478746221604969,0.03758760021287542,0.05844722914035856,0.04357686814977488
total_stalls,0.0,0.0,0.0,0.0,0.0,0.0
fleet_size,0.0,0.0,0.0,0.0,0.0,0.0
n_trips,25.602863753855107,23.09512541160532,25.46139544772819,28.38131487858778,25.39183810579306,29.708070929891743
capacity_passenger,0.0,0.0,0.0,0.0,0.0,0.0
capacity_share_passenger,4.0407995041904695e-17,0.0,4.0407995041904695e-17,4.0407995041904695e-17,4.0407995041904695e-17,4.0407995041904695e-17
capacity_delivery,0.0,0.0,0.0,0.0,0.0,0.0
capacity_share_delivery,1.0101998760476174e-17,4.0407995041904695e-17,1.0101998760476174e-17,1.0101998760476174e-17,1.0101998760476174e-17,1.0101998760476174e-17
capacity_ridehail,0.0,0.0,0.0,0.0,0.0,0.0
capacity_share_ridehail,5.050999380238087e-18,1.515299814071426e-17,2.0203997520952348e-17,5.050999380238087e-18,4.0407995041904695e-17,5.050999380238087e-18
passenger_trips,17.506004143953657,16.24497997366656,16.56023915462085,20.194458662572004,14.800042613586783,21.94804370479139
passenger_search_time_min,0.02966857966132325,0.02461680182737342,0.0245913735961805,0.037065575522420936,0.02690791473255774,0.03265770627593544
passenger_search_time_p90_min,0.04442337385633389,0.04718720050420215,0.04686393183266245,0.06247455991457108,0.06117313150962579,0.04333173664549551
passenger_search_distance_m,4.500842331572322,2.798345547035856,2.9369128943884646,5.717605287857167,2.665549873198075,4.329335246151012
passenger_walk_distance_m,0.7229104300528535,0.9172712500171358,0.6842438925297348,0.6137486036504656,0.5889394543336576,0.493568480069195
passenger_parking_cost_usd,0.009884693824726632,0.011149003165524848,0.00831993409796416,0.029202723235173183,0.00826113921438096,0.007009437638958754
passenger_failed_attempts,0.040357081508651214,0.021199701771398446,0.02414781849544216,0.045174044884922444,0.020984358570032995,0.0415603669158086
passenger_illegal_rate,0.0013338279806633722,0.0017320553129879885,0.0019477122226269983,0.0015606868854837277,0.0016122702722075983,0.0014849120009488407
passenger_diverted_rate,0.004368391140619439,0.003016704870599801,0.002240340238211206,0.005390437364211516,0.002519152421651294,0.004823157634567865
passenger_abandonment_rate,0.002005366289954325,0.004149159251491203,0.004038358632852704,0.0017706435590206261,0.003037071549694622,0.001711995336473992
passenger_parked_rate,0.006239836460470901,0.004242206117976506,0.004653652493069033,0.007455583013631126,0.0039333502970929,0.006820369547595563
delivery_trips,9.54838302172163,11.948752906920927,11.499895441137198,8.54534542838506,9.09623221733725,10.044906129829592
delivery_search_time_min,0.019063239910641964,0.004213485076208404,0.012109783068245358,0.015261541010288336,0.01928538881465718,0.022388619207467243
delivery_delay_min,0.01529083984691862,0.004213485076208387,0.011095519410187032,0.012439936917021822,0.015968303608243556,0.01753739925478966
delivery_delay_p90_min,0.06557528134107599,0.07510344788493663,0.046509886614663806,0.039944073678806695,0.06843258817600796,0.05734890135823268
delivery_illegal_rate,0.00309091109662372,0.0,0.001250559705948933,0.0029573610989089482,0.0030225342853017344,0.003775302401644559
delivery_walk_distance_m,0.4018184425610838,0.0,0.1615531428114068,0.37129573339776295,0.37788263938369177,0.48575901840868463
ridehail_trips,14.201295286021141,15.521213247992414,14.353043149898044,12.11798973250465,12.042325499377194,13.83848303869541
ridehail_wait_min,0.012597879660379684,0.0064401169376683935,0.009474496694416619,0.013058871682075472,0.00858762245597604,0.0161089740207629
ridehail_wait_p90_min,0.031644648405646715,0.013575676832934414,0.021964231904524692,0.0273757977506824,0.02057865931534809,0.03586848349387536
ridehail_pickup_distance_m,1.2553554569876946,1.2791223863042538,1.453298015706271,1.485095519666711,1.6528243765067754,1.2874260021717876
ridehail_circling_time_min,0.0044419508219956105,0.0001133996338534747,0.0,0.004811003382270865,0.0,0.005405790017845821
ridehail_curb_dwell_min,0.0,0.0,0.0,0.0,0.0,0.0
ridehail_illegal_rate,0.0017109769938933425,4.827214939308307e-05,0.0,0.0018294799788276263,0.0,0.0013162171761782588
ridehail_dropoff_illegal_events,6.3080363218316915,1.7721167030405764,0.0,8.471087400512783,0.9230762827387502,9.78786451687835
ridehail_circling_loops,5.2662797704536795,0.1356409504277753,0.0,5.69841823048308,0.0,9.619734237732233
curb_occupancy,0.002873673956884735,0.0009987180793585761,0.0008955237577520992,0.0029641016956050642,0.0014779618839431104,0.003154270583811454
curb_occupancy_passenger,0.003569025473700394,0.0012487145125201179,0.0012184003150585627,0.00349642841922303,0.0017658872339460278,0.003649898276358355
curb_occupancy_delivery,0.003217384575664639,0.002434581622510575,0.004495107949732283,0.003914066443792481,0.003908790313749552,0.0036707949308789575
curb_occupancy_ridehail,0.0032530695734827395,0.001632812842178139,0.0007621523423636018,0.0028098177248641284,0.0009969994817336496,0.003501668937096569
mean_price_usd_per_hour,3.2326396033523756e-16,3.2326396033523756e-16,3.2326396033523756e-16,0.027370234558407265,3.2326396033523756e-16,3.2326396033523756e-16
curb_saturated_share,0.04150723520920953,0.0065553932053407996,0.00952834046571864,0.04512800016029331,0.013909394823924445,0.03616988438464336
curb_turnover_per_stall_per_hour,0.005269809370802485,0.005413262413894771,0.0066500540141268445,0.00589132422715176,0.004009553963785217,0.006109512242948967
loading_zone_utilisation,0.003217384575664639,0.002434581622510575,0.004495107949732283,0.003914066443792481,0.003908790313749552,0.0036707949308789575
vmt_miles,23.124314664658566,14.833595502283575,20.489821024930265,26.043573555266498,19.73208470610009,28.525108446118203
vmt_miles_passenger,22.792586022270548,14.224906866004442,18.24792656452173,22.913330044694067,14.866844217457128,21.039691602878484
vmt_miles_delivery,5.052771685048658,5.450770276176003,5.744160043392841,4.532301939003396,6.018991519890599,7.156517329497031
vmt_miles_ridehail,6.639680358061976,5.655177988957068,4.4831124427616285,4.990112613845888,4.112164813372999,6.9742767536921075
cruising_vmt_miles,13.096964445638795,7.689251510078529,10.331759881854154,16.40577523219123,9.195479044614412,16.267685632238315
cruising_vmt_share,0.002357080204724586,0.001247444473130307,0.0016321605514742629,0.0030425505814273587,0.0013889367429953448,0.002692829868852719
mean_speed_kph,0.18048417186750507,0.2354570707756366,0.15444557598364117,0.20224512520617893,0.19845823562175596,0.22403430355287982
congestion_index,0.02038032464306253,0.02752116611805623,0.02192572886402992,0.02141862458268794,0.02679338699859763,0.02320984353453252
illegal_parking_events,10.910666666666666,5.8940511551187855,7.050365566457506,13.860163736019572,6.498104791787945,15.175331070637247
