,baseline,loading_zones,ridehail_zones,dynamic_pricing,mixed_curb,demand_shock
wall_time_s,2.286777479566687,2.6942258252333735,2.6998814930332933,2.1728081360333817,2.667815955999989,2.6610490476999984
total_stalls,980.0,980.0,980.0,980.0,980.0,980.0
fleet_size,82.0,82.0,82.0,82.0,82.0,123.0
n_trips,6020.233333333334,6008.666666666667,6023.566666666667,6014.733333333334,6008.7,6967.266666666666
capacity_passenger,804.0,549.0,568.0,804.0,510.0,804.0
capacity_share_passenger,0.820408163265306,0.560204081632653,0.5795918367346939,0.820408163265306,0.5204081632653063,0.820408163265306
capacity_delivery,127.0,314.0,147.0,127.0,127.0,127.0
capacity_share_delivery,0.1295918367346939,0.320408163265306,0.15000000000000002,0.1295918367346939,0.1295918367346939,0.1295918367346939
capacity_ridehail,49.0,117.0,265.0,49.0,343.0,49.0
capacity_share_ridehail,0.05000000000000002,0.11938775510204086,0.2704081632653061,0.05000000000000002,0.34999999999999987,0.05000000000000002
passenger_trips,3343.133333333333,3335.2,3343.9666666666667,3343.233333333333,3343.266666666667,3362.4666666666667
passenger_search_time_min,2.2108265531606888,3.273255832907313,3.1927862686587796,2.196082033123439,3.0258618380287694,2.2514290813897175
passenger_search_time_p90_min,4.400411817666994,5.159697037566505,5.099422303912007,4.706692145587127,5.073348934057264,4.432994186067565
passenger_search_distance_m,339.1804662487321,515.529813230795,499.9616056327725,350.9832277192605,482.7442077718007,345.5771317586242
passenger_walk_distance_m,158.2875505888997,135.20179685309537,138.0206951359863,155.9455685626858,133.39487694525667,157.88361851766174
passenger_parking_cost_usd,2.214043297002567,1.7949095689123058,1.8585592628582324,3.0036496686771623,1.7740893246057217,2.2149108138109748
passenger_failed_attempts,2.7515955007040884,4.259816096650976,4.149717843906702,2.3670124694170385,3.89818215241869,2.8021120088006817
passenger_illegal_rate,0.04305838978428522,0.08082048494211172,0.07928651673188743,0.030699573189319596,0.0731399702833153,0.0425028596529109
passenger_diverted_rate,0.21991049423781847,0.2929352245588423,0.2956562704289493,0.1631355129000021,0.24921210785874953,0.22278561179236173
passenger_abandonment_rate,0.037448113751457845,0.20582135992319256,0.18327034321699884,0.026508862980549937,0.20732936762063725,0.04026818663006517
passenger_parked_rate,0.6995830022264385,0.42042293057585334,0.4417868696221646,0.7796560509301284,0.470318554237298,0.6944433419246622
delivery_trips,796.8666666666667,798.4666666666667,810.2666666666667,800.7666666666667,795.7,799.3333333333334
delivery_search_time_min,0.7976685439341767,0.31327878149134786,0.5558530442904932,0.7748142083407766,0.6438849450967419,0.7915154693263058
delivery_delay_min,2.341915203994107,1.9182170530962857,2.1525709478822885,2.3202209366467264,2.2226481528350015,2.3375711403153483
delivery_delay_p90_min,3.318402232815614,2.2509700176366754,2.7690802022673533,3.233454526115069,2.9762550670676258,3.3062194783016934
delivery_illegal_rate,0.03781554257804303,0.0,0.005373186432891194,0.03745044982279314,0.018053420137311982,0.0367881740305773
delivery_walk_distance_m,125.08397946485442,130.0,129.33415019093547,125.1779449927819,127.87981982679912,125.23050935011247
ridehail_trips,1880.2333333333333,1875.0,1869.3333333333333,1870.7333333333333,1869.7333333333333,2805.4666666666667
ridehail_wait_min,1.993517017722493,1.709905301497589,1.695817068145413,1.9336440884883193,1.6940134187343874,2.1089832243728113
ridehail_wait_p90_min,3.145966028200514,2.5991882022156205,2.5835945698762215,3.0070119720761497,2.5736959958916286,3.4539150439472084
ridehail_pickup_distance_m,43.064081371141434,42.51191338460672,42.363400637999,40.47373409693182,42.78174351099538,31.480637382877923
ridehail_circling_time_min,0.07687176184953917,0.000139295866447136,0.0,0.06625194214813449,0.0,0.09922883247361283
ridehail_curb_dwell_min,0.0,0.0,0.0,0.0,0.0,0.0
ridehail_illegal_rate,0.026398564026513006,3.5438526819310305e-05,0.0,0.023479922842915953,0.0,0.03517274776527941
ridehail_dropoff_illegal_events,240.46666666666667,16.4,0.0,218.4,5.033333333333333,547.1666666666666
ridehail_circling_loops,91.8,0.16666666666666666,0.0,78.73333333333333,0.0,177.6
curb_occupancy,0.7580165398660296,0.6131230178551608,0.6278341903278128,0.7735991878019939,0.6148664919264408,0.7683206030081031
curb_occupancy_passenger,0.8454504687447119,0.9723764915802386,0.96728106735652,0.865668257352692,0.9358818843873714,0.8516702203269365
curb_occupancy_delivery,0.38243612405592153,0.16419255600329302,0.35203387477439946,0.3808881032728052,0.36972040232914466,0.3804863677754566
curb_occupancy_ridehail,0.26116895737886997,0.12622826908541193,0.055730971633936595,0.25887824517562125,0.07272717564262754,0.36824934055254754
mean_price_usd_per_hour,2.7999999999999994,2.7999999999999994,2.7999999999999994,3.657625058150745,2.7999999999999994,2.7999999999999994
curb_saturated_share,0.24081632653061222,0.991156462585034,0.9748299319727891,0.37891156462585035,0.6816326530612247,0.2564625850340136
curb_turnover_per_stall_per_hour,1.446658163265306,1.2888435374149656,1.3114285714285714,1.4666326530612246,1.2898724489795919,1.6735629251700679
loading_zone_utilisation,0.38243612405592153,0.16419255600329302,0.35203387477439946,0.3808881032728052,0.36972040232914466,0.3804863677754566
vmt_miles,3466.426485988494,3659.3976593361435,3661.4440417959117,3491.27656983218,3611.515002386065,3832.4300667435505
vmt_miles_passenger,2457.9853654656804,2783.4544178663277,2763.2598541186144,2492.6742407672523,2711.9952808929183,2483.5112940427907
vmt_miles_delivery,399.75273569023574,360.9899437286249,386.6505027307193,402.59074504891424,386.6397322967206,399.5777161377555
vmt_miles_ridehail,608.6883848325779,514.9532977411915,511.5336849465787,596.0115840160131,512.8799891964261,949.3410565630053
cruising_vmt_miles,845.5679249847556,1078.575494114372,1068.243955301042,865.13511095204,1036.829291935099,966.0029179591187
cruising_vmt_share,0.24383885490750445,0.2947235971243541,0.2917207461613408,0.24765995562903984,0.28706222448053287,0.2519516830612779
mean_speed_kph,23.477512459134264,19.87457005084353,20.01592480264162,25.575158322572317,20.55282881994172,23.232934470095515
congestion_index,1.6031745610933628,2.0449495741511927,2.0349516021470815,1.4111252203959865,1.9684058174069243,1.6215887644300049
illegal_parking_events,464.43333333333334,286.1333333333333,269.6,395.1333333333333,264.1,818.5
illegal_parking_rate,0.07711351098343126,0.04761295390470429,0.04475897184591971,0.06565194672628188,0.04394091699671114,0.11745050466684018
citations,47.0,32.3,30.966666666666665,39.1,27.433333333333334,81.33333333333333
meter_revenue_usd,7727.950872823221,6346.883744789261,6582.236650983226,10428.830551285066,6304.661029402545,7788.035616869686
fine_revenue_usd,4140.633333333333,2387.9,2284.0,3483.733333333333,2086.3333333333335,7292.333333333333
revenue_usd,11868.584206156553,8734.783744789262,8866.236650983226,13912.5638846184,8390.994362735879,15080.368950203021
time_cost_usd,5149.276611291503,5736.960989477743,5798.266883871219,5071.990042261149,5646.413575521378,6144.7749643482075
vmt_cost_usd,2149.184421312866,2268.8265487884087,2270.095305913465,2164.591473295952,2239.1393014793603,2376.106641381002
illegal_cost_usd,6502.066666666667,4005.866666666667,3774.4,5531.866666666667,3697.4,11459.0
system_social_cost_usd,13800.527699271037,12011.654204932822,11842.762189784686,12768.448182223767,11582.95287700074,19979.88160572921
social_cost_per_trip_usd,2.291782648058612,1.9989153497905356,1.9660495616763154,2.12213803363601,1.9274217934481959,2.867125208650224
